3 Bion | Vitamin B1, B6 & B12 | Tablet | 100 mg+200 mg+200 mcg | Jenphar Bangladesh Ltd.
Hepanib | Sorafenib Tosylate | Tablet | 200 mg | Everest Pharmaceuticals Ltd.
Heparest | L-Ornithine L-Aspartate | Oral Powder | 3 gm/sachet | Everest Pharmaceuticals Ltd.
Heparin Panpharma | Heparin Sodium | Injection | 25000 IU/5 ml | City Overseas Ltd.
Heparon | Heparin Sodium | Injection | 25000 IU/5 ml | Beacon Pharmaceuticals Ltd.
Hepatab | Rifaximin | Tablet | 550 mg | Ibn Sina Pharmaceuticals Ltd.
Hepatab | Rifaximin | Tablet | 200 mg | Ibn Sina Pharmaceuticals Ltd.
Hepavax-B | Hepatitis B Vaccine [rDNA] | IM Injection | 20 mcg/ml | Popular Pharmaceuticals Ltd.
Hepavir | Lamivudine [For Chronic Hepatitis B] | Tablet | 100 mg | Square Pharmaceuticals Ltd.
Hepaximin | Rifaximin | Tablet | 200 mg | Aristopharma Ltd.
Hepaximin | Rifaximin | Tablet | 550 mg | Aristopharma Ltd.
Hepcee | Sofosbuvir | Tablet | 400 mg | Jenphar Bangladesh Ltd.
Heplol | L-Ornithine L-Aspartate | Tablet | 150 mg | Square Pharmaceuticals Ltd.
Hepta Seas | Multivitamin & Cod Liver Oil | Syrup |  | ACI Limited
Heptavit | Multivitamin [Pediatric preparation] | Pediatric Drops |  | Doctor’s Chemical Works Ltd.
HER-2N | Ribociclib | Tablet | 200 mg | Jenphar Bangladesh Ltd.
Herceptin | Trastuzumab | SC Injection | 600 mg/5 ml | Roche Bangladesh Ltd.
Herceptin | Trastuzumab | IV Infusion | 440 mg/20 ml | Roche Bangladesh Ltd.
Herculix | Ceftriaxone Sodium | IM Injection | 1 gm/vial | Kumudini Pharma Ltd.
Lacrison T | Loteprednol Etabonate + Tobramycin | Ophthalmic Suspension | 0.5%+0.3% | Beximco Pharmaceuticals Ltd.
Lactameal | Aluminium Hydroxide + Magnesium Hydroxide | Chewable Tablet | 250 mg+400 mg | Beximco Pharmaceuticals Ltd.
Lactameal | Aluminium Hydroxide + Magnesium Hydroxide | Oral Suspension | (175 mg+225 mg)/5 ml | Beximco Pharmaceuticals Ltd.
Lacticon | Lactitol Monohydrate | Oral Powder | 10 gm/sachet | ACI Limited
Lactobac | Probiotic Combination [10 Billion] | Capsule | 10 billion | Total Herbal & Nutraceuticals
Lactoben | Lactulose | Oral Solution | 3.35 gm/5 ml | Benham Pharmaceuticals Ltd.
Lactolax | Lactulose | Oral Solution | 3.35 gm/5 ml | Pharmasia Limited
Lactomose | Lactulose | Oral Solution | 3.35 gm/5 ml | Monicopharma Ltd.
Lactoride | Hartmann's Solution | IV Infusion |  | Beximco Pharmaceuticals Ltd.
Lactoring | Hartmann's Solution | IV Infusion |  | Square Pharmaceuticals Ltd.
Lactro | Ketorolac Tromethamine | Tablet | 10 mg | Zenith Pharmaceuticals Ltd.
Lactu | Lactulose | Oral Solution | 3.35 gm/5 ml | Biopharma Laboratories Ltd.
Lactulose H | Lactulose | Oral Solution | 3.35 gm/5 ml | Hudson Pharmaceuticals Ltd.
Laczym | Lactase | Chewable Tablet | 9000 IU | Aristopharma Ltd.
Lagita | Sodium Alginate + Potassium Bicarbonate | Oral Suspension | (500 mg+100 mg)/5 ml | Medicon Pharmaceuticals Ltd.
Lameptil | Lamotrigine | Tablet | 25 mg | SANDOZ (A Novartis Division)
Lameptil | Lamotrigine | Tablet | 50 mg | SANDOZ (A Novartis Division)
Lamicet | Lamotrigine | Tablet | 50 mg | Square Pharmaceuticals Ltd.
Lamidin | Lamivudine [For Chronic Hepatitis B] | Tablet | 100 mg | Eskayef Pharmaceuticals Ltd.
Lamitan | Lasmiditan Hemisuccinate | Tablet | 100 mg | ACME Laboratories Ltd.
Lamitan | Lasmiditan Hemisuccinate | Tablet | 50 mg | ACME Laboratories Ltd.
Lamitrin | Lamotrigine | Dispersible Tablet | 2 mg | ACI Limited
Lamitrin | Lamotrigine | Dispersible Tablet | 5 mg | ACI Limited
Lamitrin | Lamotrigine | Tablet | 25 mg | ACI Limited
Lamitrin | Lamotrigine | Tablet | 50 mg | ACI Limited
Lamitrin ER | Lamotrigine | Tablet (Extended Release) | 50 mg | ACI Limited
Lamitrin ER | Lamotrigine | Tablet (Extended Release) | 100 mg | ACI Limited
Lamivir | Lamivudine [For Chronic Hepatitis B] | Tablet | 100 mg | Incepta Pharmaceuticals Ltd.
Lamogin | Lamotrigine | Dispersible Tablet | 5 mg | Incepta Pharmaceuticals Ltd.
Lamogin | Lamotrigine | Tablet | 50 mg | Incepta Pharmaceuticals Ltd.
Losectil | Omeprazole | IV Injection | 40 mg/vial | Eskayef Pharmaceuticals Ltd.
Losectil MUPS | Omeprazole (MUPS tablet) | MUPS Tablet | 40 mg | Eskayef Pharmaceuticals Ltd.
Losectil MUPS | Omeprazole (MUPS tablet) | MUPS Tablet | 20 mg | Eskayef Pharmaceuticals Ltd.
Losectil V | Omeprazole | Capsule (Delayed Release) | 20 mg | Eskayef Pharmaceuticals Ltd.
Losectil V | Omeprazole | Capsule (Delayed Release) | 40 mg | Eskayef Pharmaceuticals Ltd.
Losek | Omeprazole | Capsule (Delayed Release) | 20 mg | Bristol Pharmaceuticals Ltd.
Losek | Omeprazole | Capsule (Delayed Release) | 40 mg | Bristol Pharmaceuticals Ltd.
Losita | Escitalopram Oxalate | Tablet | 5 mg | Eskayef Pharmaceuticals Ltd.
Losita | Escitalopram Oxalate | Tablet | 10 mg | Eskayef Pharmaceuticals Ltd.
Losita | Escitalopram Oxalate | Tablet | 20 mg | Eskayef Pharmaceuticals Ltd.
Losium | Losartan Potassium | Tablet | 50 mg | Ibn Sina Pharmaceuticals Ltd.
Losium Plus | Losartan Potassium + Hydrochlorothiazide | Tablet | 50 mg+12.5 mg | Ibn Sina Pharmaceuticals Ltd.
Losium Plus | Losartan Potassium + Hydrochlorothiazide | Tablet | 100 mg+12.5 mg | Ibn Sina Pharmaceuticals Ltd.
Lospan | Baclofen | Tablet | 10 mg | Beximco Pharmaceuticals Ltd.
Lospan | Baclofen | Tablet | 25 mg | Beximco Pharmaceuticals Ltd.
Lospil | Losartan Potassium | Tablet | 50 mg | The White Horse Pharmaceuticals Ltd.
Lospil Plus | Losartan Potassium + Hydrochlorothiazide | Tablet | 50 mg+12.5 mg | The White Horse Pharmaceuticals Ltd.
Lospre | Losartan Potassium | Tablet | 50 mg | Kumudini Pharma Ltd.
Losucon | Glimepiride | Tablet | 1 mg | Incepta Pharmaceuticals Ltd.
Losucon | Glimepiride | Tablet | 2 mg | Incepta Pharmaceuticals Ltd.
Losucon | Glimepiride | Tablet | 3 mg | Incepta Pharmaceuticals Ltd.
Losucon | Glimepiride | Tablet | 4 mg | Incepta Pharmaceuticals Ltd.
Losucon M | Glimepiride + Metformin | Tablet (Sustained Release) | 1 mg+500 mg | Incepta Pharmaceuticals Ltd.
Losucon M | Glimepiride + Metformin | Tablet (Sustained Release) | 2 mg+500 mg | Incepta Pharmaceuticals Ltd.
Lotas | Losartan Potassium | Tablet | 50 mg | Ambee Pharmaceuticals Ltd.
Lotas Plus | Losartan Potassium + Hydrochlorothiazide | Tablet | 50 mg+12.5 mg | Ambee Pharmaceuticals Ltd.
Loteba | Loteprednol Etabonate + Tobramycin | Ophthalmic Suspension | 0.5%+0.3% | Navana Pharmaceuticals Ltd.
Loteflam | Loteprednol Etabonate | Ophthalmic Suspension | 0.5% | General Pharmaceuticals Ltd.
Loteflam | Loteprednol Etabonate | Ophthalmic Gel | 0.5% | General Pharmaceuticals Ltd.
Loteflam G | Loteprednol Etabonate + Gatifloxacin | Ophthalmic Suspension | 0.5%+0.3% | General Pharmaceuticals Ltd.
Montinex | Montelukast Sodium | Chewable Tablet | 4 mg | Beacon Pharmaceuticals Ltd.
Montinex | Montelukast Sodium | Chewable Tablet | 5 mg | Beacon Pharmaceuticals Ltd.
Montinex | Montelukast Sodium | Tablet | 10 mg | Beacon Pharmaceuticals Ltd.
Montium | Montelukast Sodium | Tablet | 10 mg | Maks Drug Limited
Montiva | Montelukast Sodium | Tablet | 10 mg | NIPRO JMI Pharma Ltd.
Montiva | Montelukast Sodium | Flash Tablet | 4 mg | NIPRO JMI Pharma Ltd.
Montiva | Montelukast Sodium | Flash Tablet | 5 mg | NIPRO JMI Pharma Ltd.
Montril | Montelukast Sodium | Flash Tablet | 4 mg | Aristopharma Ltd.
Montril | Montelukast Sodium | Chewable Tablet | 5 mg | Aristopharma Ltd.
Montril | Montelukast Sodium | Tablet | 10 mg | Aristopharma Ltd.
Monuvir | Molnupiravir | Capsule | 200 mg | Eskayef Pharmaceuticals Ltd.
Moodnor | Nortriptyline | Tablet | 10 mg | Ibn Sina Pharmaceuticals Ltd.
Moov | Diclofenac Sodium | Gel | 1% w/w | Astra Biopharmaceuticals Ltd.
Moov SR | Diclofenac Sodium | Capsule (Sustained Release) | 100 mg | Astra Biopharmaceuticals Ltd.
Mooverix | Methyl Salicylate + Menthol + Camphor | Cream | 30%+10%+4% | Incepta Pharmaceuticals Ltd.
Mopride | Prucalopride Succinate | Tablet | 1 mg | Beximco Pharmaceuticals Ltd.
Mopride | Prucalopride Succinate | Tablet | 2 mg | Beximco Pharmaceuticals Ltd.
Moriamin-M | Iron + Folic acid + Vitamin B complex + Vitamin C | Capsule |  | Desh Pharmaceuticals Ltd.
Moset | Cetirizine Hydrochloride | Tablet | 10 mg | Monicopharma Ltd.
Moset | Cetirizine Hydrochloride | Syrup | 5 mg/5 ml | Monicopharma Ltd.
Motelity | Prucalopride Succinate | Tablet | 1 mg | Nuvista Pharma Ltd.
Motelity | Prucalopride Succinate | Tablet | 2 mg | Nuvista Pharma Ltd.
Motifen | Aceclofenac | Tablet | 100 mg | Pharmadesh Laboratories Ltd.
Motigen | Domperidone Maleate | Tablet | 10 mg | Novo Healthcare and Pharma Ltd.
Motigen | Domperidone Maleate | Oral Suspension | 5 mg/5 ml | Novo Healthcare and Pharma Ltd.
Motigut | Domperidone Maleate | Tablet | 10 mg | Square Pharmaceuticals Ltd.
Motigut | Domperidone Maleate | Oral Suspension | 5 mg/5 ml | Square Pharmaceuticals Ltd.
Motigut | Domperidone Maleate | Pediatric Drops | 5 mg/ml | Square Pharmaceuticals Ltd.
Motil | Domperidone Maleate | Tablet | 10 mg | Hallmark Pharmaceuticals Ltd.
Motil | Domperidone Maleate | Oral Suspension | 5 mg/5 ml | Hallmark Pharmaceuticals Ltd.
Novatron | Ondansetron | Tablet | 8 mg | Radiant Pharmaceuticals Ltd.
Novatron | Ondansetron | IM/IV Injection | 8 mg/4 ml | Radiant Pharmaceuticals Ltd.
Novavit Gold | Multivitamin & Multimineral [A-Z gold preparation] | Tablet |  | Leon Pharmaceuticals Ltd.
Novavit Silver | Multivitamin & Multimineral [A-Z silver preparation] | Tablet |  | Leon Pharmaceuticals Ltd.
Novaxen | Naproxen Sodium | Tablet | 500 mg | Leon Pharmaceuticals Ltd.
Novaxen Plus | Naproxen Sodium + Esomeprazole Magnesium | Tablet (Delayed Release) | 500 mg+20 mg | Leon Pharmaceuticals Ltd.
Novaxen Plus | Naproxen Sodium + Esomeprazole Magnesium | Tablet (Delayed Release) | 375 mg+20 mg | Leon Pharmaceuticals Ltd.
Novazith | Azithromycin Dihydrate | Tablet | 500 mg | Leon Pharmaceuticals Ltd.
Novazith | Azithromycin Dihydrate | Powder for Suspension | 200 mg/5 ml | Leon Pharmaceuticals Ltd.
Novea | Pyridoxine Hydrochloride + Doxylamine Succinate | Tablet (Delayed Release) | 10 mg+10 mg | Healthcare Pharmaceuticals Ltd.
Novea | Pyridoxine Hydrochloride + Doxylamine Succinate | Tablet (Extended Release) | 20 mg+20 mg | Healthcare Pharmaceuticals Ltd.
Novefos | Fosfomycin Trometamol | Oral Powder | 3 gm/sachet | Nuvista Pharma Ltd.
Novelip | Bempedoic acid | Tablet | 180 mg | Renata Limited
Novelon | Drospirenone + Ethinylestradiol (0.03 mg) | Tablet | 0.03 mg+3 mg | Renata Limited
Novelon Lite | Drospirenone + Ethinylestradiol (0.02 mg) | Tablet | 0.02 mg+3 mg | Renata Limited
Novelta | Magaldrate + Simethicone | Oral Suspension | (480 mg+20 mg)/5 ml | Orion Pharma Ltd.
Novelta | Magaldrate + Simethicone | Chewable Tablet | 480 mg+20 mg | Orion Pharma Ltd.
Novelta Power | Sodium Alginate + Sodium Bicarbonate + Calcium Carbonate | Oral Suspension | (500 mg+267 mg+160 mg)/10 ml | Orion Pharma Ltd.
Novetor | Doxophylline | Tablet | 200 mg | Novatek Pharmaceuticals Ltd.
Novetor | Doxophylline | Tablet | 400 mg | Novatek Pharmaceuticals Ltd.
Novin | Xylometazoline Hydrochloride | Nasal Drop | 0.05% | Gaco Pharmaceuticals Ltd.
Novin | Xylometazoline Hydrochloride | Nasal Drop | 0.1% | Gaco Pharmaceuticals Ltd.
Novirax | Acyclovir (Topical) | Cream | 5% w/w | Drug International Ltd.
Novirax | Acyclovir (Oral) | Tablet | 200 mg | Drug International Ltd.
Novirax | Acyclovir (Oral) | Tablet | 400 mg | Drug International Ltd.
Novirax HC | Acyclovir + Hydrocortisone | Cream | 5%+1% | Drug International Ltd.
NOVO ORS | Oral rehydration salt [glucose based] | Oral Powder | 10.25 gm | Novo Healthcare and Pharma Ltd.
Novocaine | Oxybuprocaine Hydrochloride | Ophthalmic Solution | 0.4% | Opso Saline Limited
Novodol | Paracetamol + Tramadol Hydrochloride | Tablet | 325 mg+37.5 mg | Orion Pharma Ltd.
NovoFine 31G | Insulin device & needle | SC Injection | 4 mm | Novo Nordisk Pharma (Pvt.) Ltd
Ometac | Omeprazole | Capsule (Delayed Release) | 40 mg | Navana Pharmaceuticals Ltd.
Ometem | Omeprazole | Capsule (Delayed Release) | 20 mg | Team Pharmaceuticals Ltd.
Ometem | Omeprazole | Capsule (Delayed Release) | 40 mg | Team Pharmaceuticals Ltd.
Ometid | Omeprazole | Capsule (Delayed Release) | 20 mg | Opsonin Pharma Ltd.
Ometid | Omeprazole | Capsule (Delayed Release) | 40 mg | Opsonin Pharma Ltd.
Ometid | Omeprazole | IV Injection | 40 mg/vial | Opsonin Pharma Ltd.
Ometid MUPS | Omeprazole (MUPS tablet) | MUPS Tablet | 20 mg | Opsonin Pharma Ltd.
Ometid MUPS | Omeprazole (MUPS tablet) | MUPS Tablet | 40 mg | Opsonin Pharma Ltd.
Ometop | Omeprazole | Capsule (Delayed Release) | 20 mg | Novus Pharmaceuticals Ltd.
Ometor | Omeprazole | Capsule (Delayed Release) | 20 mg | Astra Biopharmaceuticals Ltd.
Ometor | Omeprazole | Capsule (Delayed Release) | 40 mg | Astra Biopharmaceuticals Ltd.
Ometor | Omeprazole | IV Injection | 40 mg/vial | Astra Biopharmaceuticals Ltd.
Omevir | Omeprazole | Capsule (Delayed Release) | 20 mg | Virgo Pharmaceuticals Ltd.
Omex | Omeprazole | Capsule (Delayed Release) | 20 mg | Kemiko Pharmaceuticals Ltd.
Omex | Omeprazole | Capsule (Delayed Release) | 40 mg | Kemiko Pharmaceuticals Ltd.
Omex | Omeprazole | IV Injection | 40 mg/vial | Kemiko Pharmaceuticals Ltd.
Omezole | Omeprazole | Capsule (Delayed Release) | 20 mg | Medimet Pharmaceuticals Ltd.
OMG-3 | Omega-3 Acid Ethyl Esters | Capsule | 1000 mg | Drug International Ltd.
Omid | Domperidone Maleate | Tablet | 10 mg | Desh Pharmaceuticals Ltd.
Omid | Domperidone Maleate | Oral Suspension | 5 mg/5 ml | Desh Pharmaceuticals Ltd.
Omidex | Omeprazole | Capsule (Delayed Release) | 20 mg | Modern Pharmaceuticals Ltd.
Omidon | Domperidone Maleate | Tablet | 10 mg | Incepta Pharmaceuticals Ltd.
Omidon | Domperidone Maleate | Pediatric Drops | 5 mg/ml | Incepta Pharmaceuticals Ltd.
Omidon | Domperidone Maleate | Oral Suspension | 5 mg/5 ml | Incepta Pharmaceuticals Ltd.
Omidon D | Domperidone Maleate | Dispersible Tablet | 10 mg | Incepta Pharmaceuticals Ltd.
Omilant | Omeprazole | Capsule (Delayed Release) | 20 mg | Guardian Healthcare Ltd.
Omiloc | Omeprazole | Capsule (Delayed Release) | 20 mg | Kumudini Pharma Ltd.
Omilux | Omeprazole | Capsule (Delayed Release) | 20 mg | Quality Pharmaceuticals Ltd.
Omirex | Omeprazole | Capsule (Delayed Release) | 20 mg | Jayson Pharmaceuticals Ltd.
Omirex | Omeprazole | Capsule (Delayed Release) | 40 mg | Jayson Pharmaceuticals Ltd.
Perfex | Fexofenadine Hydrochloride | Tablet | 60 mg | Beacon Pharmaceuticals Ltd.
Perfex | Fexofenadine Hydrochloride | Oral Suspension | 30 mg/5 ml | Beacon Pharmaceuticals Ltd.
Performax | Sildenafil Citrate | Tablet | 50 mg | Renata Limited
Performax | Sildenafil Citrate | Tablet | 100 mg | Renata Limited
Pergel | Esomeprazole | Tablet (Enteric Coated) | 20 mg | Premier Pharmaceuticals Ltd.
Pergoveris | Follitropin Alfa + Lutropin Alfa | SC Injection | 150 IU (11 mcg) + 75 IU (3 mcg) | Janata Traders
Peri | Domperidone Maleate | Tablet | 10 mg | Hudson Pharmaceuticals Ltd.
Peri | Domperidone Maleate | Oral Suspension | 5 mg/5 ml | Hudson Pharmaceuticals Ltd.
Pericon | Paricalcitol | Capsule | 1 mcg | Beacon Pharmaceuticals Ltd.
Peridone | Domperidone Maleate | Tablet | 10 mg | Astra Biopharmaceuticals Ltd.
Perigen | Haloperidol | Tablet | 5 mg | General Pharmaceuticals Ltd.
Perigen | Haloperidol | IM Injection | 5 mg/ml | General Pharmaceuticals Ltd.
Perigut | Domperidone Maleate | Oral Suspension | 5 mg/5 ml | Leon Pharmaceuticals Ltd.
Perigut | Domperidone Maleate | Tablet | 10 mg | Leon Pharmaceuticals Ltd.
Perilac | Ketorolac Tromethamine | Tablet | 10 mg | Biopharma Laboratories Ltd.
Perilac | Ketorolac Tromethamine | IM/IV Injection | 30 mg/ml | Biopharma Laboratories Ltd.
Perilac | Ketorolac Tromethamine | IM/IV Injection | 60 mg/2 ml | Biopharma Laboratories Ltd.
Perilor | Desloratadine | Tablet | 5 mg | Bristol Pharmaceuticals Ltd.
Perinase | Fluticasone Propionate (Nasal Spray) | Nasal Spray | 50 mcg/spray | Beximco Pharmaceuticals Ltd.
Perindal Plus | Perindopril + Indapamide | Tablet | 2 mg+0.625 mg | Opsonin Pharma Ltd.
Perindal Plus | Perindopril + Indapamide | Tablet | 4 mg+1.25 mg | Opsonin Pharma Ltd.
Perinem | Doripenem | IV Infusion | 500 mg/vial | Drug International Ltd.
Perion | Domperidone Maleate | Tablet | 10 mg | Globe Pharmaceuticals Ltd.
Perion | Domperidone Maleate | Oral Suspension | 5 mg/5 ml | Globe Pharmaceuticals Ltd.
Periset | Ondansetron | Oral Solution | 4 mg/5 ml | ACME Laboratories Ltd.
Periset | Ondansetron | IM/IV Injection | 8 mg/4 ml | ACME Laboratories Ltd.
Periset | Ondansetron | Tablet | 8 mg | ACME Laboratories Ltd.
Peristal | Domperidone Maleate | Tablet | 10 mg | Silco Pharmaceutical Ltd.
Peristal | Domperidone Maleate | Oral Suspension | 5 mg/5 ml | Silco Pharmaceutical Ltd.
Peritop | Itopride Hydrochloride | Tablet | 50 mg | Beacon Pharmaceuticals Ltd.
Segal | Fluconazole | Powder for Suspension | 50 mg/5 ml | Supreme Pharmaceutical Ltd.
Segorin | Cefuroxime Axetil | Tablet | 125 mg | Pacific Pharmaceuticals Ltd.
Segorin | Cefuroxime Axetil | Tablet | 250 mg | Pacific Pharmaceuticals Ltd.
Segorin | Cefuroxime Axetil | Tablet | 500 mg | Pacific Pharmaceuticals Ltd.
Segorin | Cefuroxime Axetil | Powder for Suspension | 125 mg/5 ml | Pacific Pharmaceuticals Ltd.
Segorin Plus | Cefuroxime Axetil + Clavulanic Acid | Powder for Suspension | (125 mg+31.25 mg)/5 ml | Pacific Pharmaceuticals Ltd.
Segorin Plus | Cefuroxime Axetil + Clavulanic Acid | Tablet | 250 mg+62.5 mg | Pacific Pharmaceuticals Ltd.
Segorin Plus | Cefuroxime Axetil + Clavulanic Acid | Tablet | 500 mg+125 mg | Pacific Pharmaceuticals Ltd.
Selbis | Bisoprolol Hemifumarate | Tablet | 1.25 mg | Beacon Pharmaceuticals Ltd.
Selbis | Bisoprolol Hemifumarate | Tablet | 2.5 mg | Beacon Pharmaceuticals Ltd.
Selbis | Bisoprolol Hemifumarate | Tablet | 5 mg | Beacon Pharmaceuticals Ltd.
Select Plus | Ketoconazole | Shampoo | 2% | Square Pharmaceuticals Ltd.
Selex | Cephalexin | Capsule | 500 mg | Orion Pharma Ltd.
Selex | Cephalexin | Powder for Suspension | 125 mg/5 ml | Orion Pharma Ltd.
Selium | Diazepam | Tablet | 5 mg | Silco Pharmaceutical Ltd.
Seloktil | Omeprazole | Capsule (Delayed Release) | 20 mg | Belsen Pharmaceuticals Ltd.
Selomet | Metoprolol Tartrate | Tablet | 25 mg | UniMed UniHealth Pharmaceuticals Ltd.
Selomet | Metoprolol Tartrate | Tablet | 50 mg | UniMed UniHealth Pharmaceuticals Ltd.
Selomet-SR | Metoprolol Tartrate | Tablet (Extended Release) | 50 mg | UniMed UniHealth Pharmaceuticals Ltd.
Selotin | Sertraline Hydrochloride | Tablet | 50 mg | The White Horse Pharmaceuticals Ltd.
Semaglo | Semaglutide | Tablet | 3 mg | Ziska Pharmaceuticals Ltd.
Semaglo | Semaglutide | Tablet | 7 mg | Ziska Pharmaceuticals Ltd.
Semaglo | Semaglutide | SC Injection | 0.25 mg/0.188 ml | Ziska Pharmaceuticals Ltd.
Semaglo | Semaglutide | SC Injection | 0.5 mg/0.375 ml | Ziska Pharmaceuticals Ltd.
Sematid | Semaglutide | Tablet | 3 mg | ACME Laboratories Ltd.
Sematid | Semaglutide | Tablet | 7 mg | ACME Laboratories Ltd.
Sematid | Semaglutide | Tablet | 14 mg | ACME Laboratories Ltd.
Semecon | Simethicone | Pediatric Drops | 67 mg/ml | Drug International Ltd.
Semglee | Insulin Glargine | SC Injection | 100 IU/ml | Beximco Pharmaceuticals Ltd.
Semotrim | Sulphamethoxazole + Trimethoprim | Oral Suspension | (200 mg+40 mg)/5 ml | Reliance Pharmaceuticals Ltd.
Umactin | Nitrofurantoin | Capsule | 100 mg | UniMed UniHealth Pharmaceuticals Ltd.
Umactin | Nitrofurantoin | Oral Suspension | 25 mg/5 ml | UniMed UniHealth Pharmaceuticals Ltd.
Umactin BD | Nitrofurantoin + Nitrofurantoin Microcrystals | Capsule (Modified Release) | 75 mg+25 mg | UniMed UniHealth Pharmaceuticals Ltd.
Uman Albumin | Albumin (Human) | IV Infusion | 20% | ZAS Corporation
Umet | Metronidazole | Oral Suspension | 200 mg/5 ml | Union Pharmaceuticals Ltd
Umet | Metronidazole | Tablet | 400 mg | Union Pharmaceuticals Ltd
Umethacin | Indomethacin (Oral) | Capsule | 25 mg | Union Pharmaceuticals Ltd
Umodin | Domperidone Maleate | Tablet | 10 mg | Union Pharmaceuticals Ltd
Umox | Amoxicillin Trihydrate | Capsule | 250 mg | Union Pharmaceuticals Ltd
Umox | Amoxicillin Trihydrate | Capsule | 500 mg | Union Pharmaceuticals Ltd
Umox | Amoxicillin Trihydrate | Pediatric Drops | 125 mg/1.25 ml | Union Pharmaceuticals Ltd
Umox | Amoxicillin Trihydrate | Powder for Suspension | 125 mg/5 ml | Union Pharmaceuticals Ltd
Unargan | Promethazine Hydrochloride | Oral Solution | 5 mg/5 ml | Union Pharmaceuticals Ltd
Unate | Calcium Carbonate [Elemental source] | Tablet | 500 mg | Union Pharmaceuticals Ltd
Unate-D | Calcium Carbonate [Elemental source] + Vitamin D3 | Tablet | 500 mg+200 IU | Union Pharmaceuticals Ltd
Uneed | Iron + Folic acid + Vitamin B complex + Vitamin C | Capsule |  | Medicon Pharmaceuticals Ltd.
Uni-Medrol | Methylprednisolone Acetate | Injection | 80 mg/2 ml | Chemist Laboratories  Ltd.
Unibac | Cefixime Trihydrate | Powder for Suspension | 100 mg/5 ml | Opso Saline Limited
Unibac | Cefixime Trihydrate | Capsule | 200 mg | Opso Saline Limited
Unibac | Cefixime Trihydrate | Capsule | 400 mg | Opso Saline Limited
Unibac | Cefixime Trihydrate | Pediatric Drops | 25 mg/ml | Opso Saline Limited
Unibac DS | Cefixime Trihydrate | Powder for Suspension | 200 mg/5 ml | Opso Saline Limited
Unibion | Vitamin B1, B6 & B12 | Tablet | 100 mg+200 mg+200 mcg | Desh Pharmaceuticals Ltd.
Uniclor | Cefaclor Monohydrate | Pediatric Drops | 125 mg/1.25 ml | Leon Pharmaceuticals Ltd.
Unicontin | Theophylline | Tablet (Controlled Release) | 200 mg | Mundipharma (BD) Pvt. Ltd.
Unicontin | Theophylline | Tablet (Controlled Release) | 400 mg | Mundipharma (BD) Pvt. Ltd.
Unicort | Hydrocortisone Acetate | Cream | 1% | Gaco Pharmaceuticals Ltd.
Unicort N | Hydrocortisone Acetate + Neomycin Sulphate | Ointment | 0.5%+0.5% | Gaco Pharmaceuticals Ltd.
Unicus | Esomeprazole (MUPS preparation) | MUPS Tablet | 20 mg | General Pharmaceuticals Ltd.
Unicus | Esomeprazole (MUPS preparation) | MUPS Tablet | 40 mg | General Pharmaceuticals Ltd.
